Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver GDE --seed 1 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1874.7
[Normalization] alpha = 0.5
Gen 50: best_fit = 0.0765879
Gen 100: best_fit = 0.0699771
Gen 150: best_fit = 0.0659997
Gen 200: best_fit = 0.0604726
Gen 250: best_fit = 0.0586171
Gen 300: best_fit = 0.0570319
Gen 350: best_fit = 0.0539854
Gen 400: best_fit = 0.052943
Gen 450: best_fit = 0.0513986
Gen 500: best_fit = 0.0500269
Gen 550: best_fit = 0.0491137
Gen 600: best_fit = 0.0484921
Gen 650: best_fit = 0.0480861
Gen 700: best_fit = 0.0475767
Gen 750: best_fit = 0.047104
Gen 800: best_fit = 0.0466685
Gen 850: best_fit = 0.0462707
Gen 900: best_fit = 0.0457219
Gen 950: best_fit = 0.0452741
Gen 1000: best_fit = 0.0448964
Gen 1050: best_fit = 0.0444143
Gen 1100: best_fit = 0.0436817
Gen 1150: best_fit = 0.043292
Gen 1200: best_fit = 0.0431329
Gen 1250: best_fit = 0.0429685
Gen 1300: best_fit = 0.0427512
Gen 1350: best_fit = 0.0426281
Gen 1400: best_fit = 0.0425428
Gen 1450: best_fit = 0.0424431
Gen 1500: best_fit = 0.0422533
Gen 1550: best_fit = 0.0420951
Gen 1600: best_fit = 0.0419106
Gen 1650: best_fit = 0.0417917
Gen 1700: best_fit = 0.0414777
Gen 1750: best_fit = 0.0414243
Gen 1800: best_fit = 0.0412338
Gen 1850: best_fit = 0.0411802
Gen 1900: best_fit = 0.0411368
Gen 1950: best_fit = 0.0409198
Gen 2000: best_fit = 0.0408843
